🌐  CCTV,#genre#
CCTV-1 综合,http://10.26.0.23:4000/udp/239.253.254.77:8000
CCTV-2 财经,http://10.26.0.23:4000/udp/239.253.254.232:8000
CCTV-3 综艺,http://10.26.0.23:4000/udp/239.253.254.191:8000
CCTV-4 亚洲,http://10.26.0.23:4000/udp/239.253.254.111:8000
CCTV-4 欧洲,http://10.26.0.23:4000/udp/239.253.254.186:8000
CCTV-4 美洲,http://10.26.0.23:4000/udp/239.253.254.187:8000
CCTV-5 体育,http://10.26.0.23:4000/udp/239.253.254.192:8000
CCTV-5+体育赛事,http://10.26.0.23:4000/udp/239.253.254.80:8000
CCTV-6 电影,http://10.26.0.23:4000/udp/239.253.254.193:8000
CHC家庭影院,http://10.26.0.23:4000/udp/239.253.254.152:8000
CHC动作电影,http://10.26.0.23:4000/udp/239.253.254.153:8000
CHC影迷电影,http://10.26.0.23:4000/udp/239.253.254.154:8000
爱上4K,http://10.26.0.23:4000/udp/239.253.254.102:8000
CCTV-7 国防军事,http://10.26.0.23:4000/udp/239.253.254.233:8000
CCTV-8 电视剧,http://10.26.0.23:4000/udp/239.253.254.194:8000
CCTV-9 纪录,http://10.26.0.23:4000/udp/239.253.254.79:8000
CCTV-10 科教,http://10.26.0.23:4000/udp/239.253.254.234:8000
CCTV-11 戏曲,http://10.26.0.23:4000/udp/239.253.254.169:8000
CCTV-12 社会与法,http://10.26.0.23:4000/udp/239.253.254.235:8000
CCTV-13 新闻,http://10.26.0.23:4000/udp/239.253.254.175:8000
CCTV-14 少儿,http://10.26.0.23:4000/udp/239.253.254.236:8000
CCTV-15 音乐,http://10.26.0.23:4000/udp/239.253.254.170:8000
CCTV-17 农业农村,http://10.26.0.23:4000/udp/239.253.254.168:8000
CCTV-4K 超高清,http://10.26.0.23:4000/udp/239.253.254.122:8000
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_4k.m3u8

🌐  卫视,#genre#
山东卫视,http://10.26.0.23:4000/udp/239.253.254.78:8000
江苏卫视,http://10.26.0.23:4000/udp/239.253.254.83:8000
浙江卫视,http://10.26.0.23:4000/udp/239.253.254.84:8000
东方卫视,http://10.26.0.23:4000/udp/239.253.254.86:8000
北京卫视,http://10.26.0.23:4000/udp/239.253.254.85:8000
广东卫视,http://10.26.0.23:4000/udp/239.253.254.90:8000
深圳卫视,http://10.26.0.23:4000/udp/239.253.254.91:8000
四川卫视,http://10.26.0.23:4000/udp/239.253.254.180:8000
湖南卫视,http://10.26.0.23:4000/udp/239.253.254.82:8000
东南卫视,http://10.26.0.23:4000/udp/239.253.254.105:8000
广西卫视,http://10.26.0.23:4000/udp/239.253.254.197:8000
海南卫视,http://10.26.0.23:4000/udp/239.253.254.179:8000
黑龙江卫视,http://10.26.0.23:4000/udp/239.253.254.93:8000
吉林卫视,http://10.26.0.23:4000/udp/239.253.254.173:8000
辽宁卫视,http://10.26.0.23:4000/udp/239.253.254.92:8000
北京纪实科教,http://10.26.0.23:4000/udp/239.253.254.165:8000
天津卫视,http://10.26.0.23:4000/udp/239.253.254.89:8000
河北卫视,http://10.26.0.23:4000/udp/239.253.254.112:8000
河南卫视,http://10.26.0.23:4000/udp/239.253.254.190:8000
金鹰纪实,http://10.26.0.23:4000/udp/239.253.254.103:8000
湖北卫视,http://10.26.0.23:4000/udp/239.253.254.88:8000
安徽卫视,http://10.26.0.23:4000/udp/239.253.254.87:8000
江西卫视,http://10.26.0.23:4000/udp/239.253.254.47:8000
重庆卫视,http://10.26.0.23:4000/udp/239.253.254.38:8000
云南卫视,http://10.26.0.23:4000/udp/239.253.254.196:8000
贵州卫视,http://10.26.0.23:4000/udp/239.253.254.113:8000
新疆卫视,http://10.26.0.23:4000/udp/239.253.254.60:8000
西藏卫视,http://10.26.0.23:4000/udp/239.253.254.56:8000
青海卫视,http://10.26.0.23:4000/udp/239.253.254.195:8000
甘肃卫视,http://10.26.0.23:4000/udp/239.253.254.74:8000
宁夏卫视,http://10.26.0.23:4000/udp/239.253.254.150:8000
兵团卫视,http://10.26.0.23:4000/udp/239.253.254.57:8000
中国交通,http://10.26.0.23:4000/udp/239.253.254.177:8000
山西卫视,http://10.26.0.23:4000/udp/239.253.254.48:8000
陕西卫视,http://10.26.0.23:4000/udp/239.253.254.49:8000
延边卫视,http://10.26.0.23:4000/udp/239.253.254.121:8000
内蒙古卫视,http://10.26.0.23:4000/udp/239.253.254.58:8000
三沙卫视,http://10.26.0.23:4000/udp/239.253.254.171:8000
农林卫视,http://10.26.0.23:4000/udp/239.253.254.70:8000
CETV1,http://10.26.0.23:4000/udp/239.253.254.110:8000
CETV2,http://10.26.0.23:4000/udp/239.253.254.107:8000
CETV4,http://10.26.0.23:4000/udp/239.253.254.116:8000
山东教育,http://10.26.0.23:4000/udp/239.253.254.59:8000

🌐  4K,#genre#
山东卫视,http://10.26.0.23:4000/udp/239.253.254.172:8000
江苏卫视,http://10.26.0.23:4000/udp/239.253.254.133:8000
浙江卫视,http://10.26.0.23:4000/udp/239.253.254.27:8000
东方卫视,http://10.26.0.23:4000/udp/239.253.254.176:8000
北京卫视,http://10.26.0.23:4000/udp/239.253.254.200:8000
广东卫视,http://10.26.0.23:4000/udp/239.253.254.108:8000
深圳卫视,http://10.26.0.23:4000/udp/239.253.254.61:8000
四川卫视,http://10.26.0.23:4000/udp/239.253.254.123:8000
湖南卫视,http://10.26.0.23:4000/udp/239.253.254.28:8000

🌐  青岛,#genre#
QTV-1,http://10.26.0.23:4000/udp/239.253.254.249:8000
QTV-2,http://10.26.0.23:4000/udp/239.253.254.250:8000
QTV-3,http://10.26.0.23:4000/udp/239.253.254.251:8000
QTV-4,http://10.26.0.23:4000/udp/239.253.254.252:8000
QTV-5,http://10.26.0.23:4000/udp/239.253.254.254:8000
崂山,http://10.26.0.23:4000/udp/239.253.254.242:8000
平度,http://10.26.0.23:4000/udp/239.253.254.248:8000
莱西,http://10.26.0.23:4000/udp/239.253.254.247:8000
胶州,http://10.26.0.23:4000/udp/239.253.254.246:8000
即墨,http://10.26.0.23:4000/udp/239.253.254.245:8000
黄岛,http://10.26.0.23:4000/udp/239.253.254.243:8000
