📺  CCTV,#genre#
CCTV-1 综合,http://10.26.0.23:4000/udp/239.253.224.77:8000
CCTV-2 财经,http://10.26.0.23:4000/udp/239.253.224.232:8000
CCTV-3 综艺,http://10.26.0.23:4000/udp/239.253.224.191:8000
CCTV-4 亚洲,http://10.26.0.23:4000/udp/239.253.224.111:8000
CCTV-4 欧洲,http://10.26.0.23:4000/udp/239.253.224.186:8000
CCTV-4 美洲,http://10.26.0.23:4000/udp/239.253.224.187:8000
CCTV-5 体育,http://10.26.0.23:4000/udp/239.253.224.192:8000
CCTV-5+体育赛事,http://10.26.0.23:4000/udp/239.253.224.80:8000
CCTV-6 电影,http://10.26.0.23:4000/udp/239.253.224.193:8000
CHC家庭影院,http://10.26.0.23:4000/udp/239.253.224.152:8000
CHC动作电影,http://10.26.0.23:4000/udp/239.253.224.153:8000
CHC影迷电影,http://10.26.0.23:4000/udp/239.253.224.154:8000
CCTV-7 国防军事,http://10.26.0.23:4000/udp/239.253.224.233:8000
CCTV-8 电视剧,http://10.26.0.23:4000/udp/239.253.224.194:8000
CCTV-9 纪录,http://10.26.0.23:4000/udp/239.253.224.79:8000
CCTV-10 科教,http://10.26.0.23:4000/udp/239.253.224.234:8000
CCTV-11 戏曲,http://10.26.0.23:4000/udp/239.253.224.169:8000
CCTV-12 社会与法,http://10.26.0.23:4000/udp/239.253.224.235:8000
CCTV-13 新闻,http://10.26.0.23:4000/udp/239.253.224.175:8000
CCTV-14 少儿,http://10.26.0.23:4000/udp/239.253.224.236:8000
CCTV-15 音乐,http://10.26.0.23:4000/udp/239.253.224.170:8000
CCTV-17 农业农村,http://10.26.0.23:4000/udp/239.253.224.168:8000
CCTV-4K 超高清,http://10.26.0.23:4000/udp/239.253.224.122:8000
多画面,http://10.26.0.23:4000/udp/239.253.224.167:8000


📺  卫视,#genre#
山东卫视,http://10.26.0.23:4000/udp/239.253.224.78:8000
江苏卫视,http://10.26.0.23:4000/udp/239.253.224.83:8000
安徽卫视,http://10.26.0.23:4000/udp/239.253.224.87:8000
浙江卫视,http://10.26.0.23:4000/udp/239.253.224.84:8000
东方卫视,http://10.26.0.23:4000/udp/239.253.224.86:8000
北京卫视,http://10.26.0.23:4000/udp/239.253.224.85:8000
北京纪实科教,http://10.26.0.23:4000/udp/239.253.224.165:8000
广东卫视,http://10.26.0.23:4000/udp/239.253.224.90:8000
深圳卫视,http://10.26.0.23:4000/udp/239.253.224.91:8000
湖南卫视,http://10.26.0.23:4000/udp/239.253.224.82:8000
金鹰纪实,http://10.26.0.23:4000/udp/239.253.224.103:8000
黑龙江卫视,http://10.26.0.23:4000/udp/239.253.224.93:8000
辽宁卫视,http://10.26.0.23:4000/udp/239.253.224.92:8000
吉林卫视,http://10.26.0.23:4000/udp/239.253.224.173:8000
河北卫视,http://10.26.0.23:4000/udp/239.253.224.112:8000
河南卫视,http://10.26.0.23:4000/udp/239.253.224.190:8000
湖北卫视,http://10.26.0.23:4000/udp/239.253.224.88:8000
云南卫视,http://10.26.0.23:4000/udp/239.253.224.196:8000
贵州卫视,http://10.26.0.23:4000/udp/239.253.224.113:8000
青海卫视,http://10.26.0.23:4000/udp/239.253.224.195:8000
重庆卫视,http://10.26.0.23:4000/udp/239.253.224.38:8000
东南卫视,http://10.26.0.23:4000/udp/239.253.224.105:8000
江西卫视,http://10.26.0.23:4000/udp/239.253.224.47:8000
广西卫视,http://10.26.0.23:4000/udp/239.253.224.197:8000
海南卫视,http://10.26.0.23:4000/udp/239.253.224.179:8000
四川卫视,http://10.26.0.23:4000/udp/239.253.224.180:8000
新疆卫视,http://10.26.0.23:4000/udp/239.253.224.60:8000
西藏卫视,http://10.26.0.23:4000/udp/239.253.224.56:8000
兵团卫视,http://10.26.0.23:4000/udp/239.253.224.57:8000
甘肃卫视,http://10.26.0.23:4000/udp/239.253.224.74:8000
中国交通,http://10.26.0.23:4000/udp/239.253.224.177:8000
山西卫视,http://10.26.0.23:4000/udp/239.253.224.48:8000
陕西卫视,http://10.26.0.23:4000/udp/239.253.224.49:8000
四川卫视,http://10.26.0.23:4000/udp/239.253.224.50:8000
贵州卫视,http://10.26.0.23:4000/udp/239.253.224.51:8000
宁夏卫视,http://10.26.0.23:4000/udp/239.253.224.53:8000
青海卫视,http://10.26.0.23:4000/udp/239.253.224.54:8000
三沙卫视,http://10.26.0.23:4000/udp/239.253.224.171:8000
延边卫视,http://10.26.0.23:4000/udp/239.253.224.121:8000
内蒙古卫视,http://10.26.0.23:4000/udp/239.253.224.58:8000
农林卫视,http://10.26.0.23:4000/udp/239.253.224.70:8000

北京卫视4K,http://10.26.0.23:4000/udp/239.253.224.200:8000
广东卫视4K,http://10.26.0.23:4000/udp/239.253.224.108:8000
深圳卫视4K,http://10.26.0.23:4000/udp/239.253.224.61:8000
爱上4K,http://10.26.0.23:4000/udp/239.253.224.102:8000
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_4k.m3u8


🌐 港台,#genre#
凤凰中文,http://tv.groupshare.com.cn/fhtv?id=cn&token=id=cn&prefix=86&phone=13256889895&pwd=Fan2345678
凤凰资讯,http://tv.groupshare.com.cn/fhtv?id=info&token=id=cn&prefix=86&phone=13256889895&pwd=Fan2345678
凤凰香港,http://tv.groupshare.com.cn/fhtv?id=hk&&token=id=cn&prefix=86&phone=13256889895&pwd=Fan2345678

澳门莲花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1


緯來電影,http://61.216.11.93:49981/stream/channelid/1914405885?profile=webtv-h264-aac-mpegts
緯來綜合,http://61.216.11.93:49981/stream/channelid/106481234?profile=webtv-h264-aac-mpegts
Hollywood,http://61.216.11.93:49981/stream/channelid/286389561?profile=webtv-h264-aac-mpegts
CINEMAX,http://61.216.11.93:49981/stream/channelid/207378916?profile=webtv-h264-aac-mpegts
民視,http://61.216.11.93:49981/stream/channelid/1736257299?profile=webtv-h264-aac-mpegts
八大第一,http://61.216.11.93:49981/stream/channelid/2021000694?profile=webtv-h264-aac-mpegts
八大综合,http://61.216.11.93:49981/stream/channelid/1339557876?profile=webtv-h264-aac-mpegts
东森超视,http://61.216.11.93:49981/stream/channelid/1026178460?profile=webtv-h264-aac-mpegts
年代MUCH,http://61.216.11.93:49981/stream/channelid/644357774?profile=webtv-h264-aac-mpegts
TVBS欢乐,http://61.216.11.93:49981/stream/channelid/1607444205?profile=webtv-h264-aac-mpegts
CNN,http://61.216.11.93:49981/stream/channelid/881277234?profile=webtv-h264-aac-mpegts
TLC,http://61.216.11.93:49981/stream/channelid/458490002?profile=webtv-h264-aac-mpegts
CINEMAX,http://61.216.11.93:49981/stream/channelid/1222093986?profile=webtv-h264-aac-mpegts
信吉电视,http://61.216.11.93:49981/stream/channelid/166215564?profile=webtv-h264-aac-mpegts
日本NHK,http://61.216.11.93:49981/stream/channelid/797583403?profile=webtv-h264-aac-mpegts
Nick Jr,http://61.216.11.93:49981/stream/channelid/580636100?profile=webtv-h264-aac-mpegts

Love Nature,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
法国时装4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
法国时装,https://fashs043.cloudycdn.services/scte/africa/playlist.m3u8
FashionTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8?zshijd
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8

纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
民视,rtmp://f13h.mine.nu/sat/tv051
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
东森超视,rtmp://f13h.mine.nu/sat/tv331
momoTV,rtmp://f13h.mine.nu/sat/tv761
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

